,POINT_X,POINT_Y,FID,Join_Count,TARGET_FID
0,-83.146991926,42.6751269889,0,1,0
1,-83.1437757777,42.6751269889,1,1,1
2,-83.1405596293,42.6751269889,2,1,2
3,-83.1373434809,42.6751269889,3,1,3
4,-83.1341273325,42.6751269889,4,1,4
5,-83.1309111841,42.6751269889,5,1,5
6,-83.1276950358,42.6751269889,6,1,6
7,-83.1244788874,42.6751269889,7,1,7
8,-83.121262739,42.6751269889,8,1,8
9,-83.1180465906,42.6751269889,9,1,9
10,-83.1148304422,42.6751269889,10,1,10
11,-83.1116142939,42.6751269889,11,0,11
12,-83.1083981455,42.6751269889,12,0,12
13,-83.1051819971,42.6751269889,13,0,13
14,-83.1019658487,42.6751269889,14,0,14
15,-83.0987497003,42.6751269889,15,1,15
16,-83.095533552,42.6751269889,16,1,16
17,-83.0923174036,42.6751269889,17,1,17
18,-83.146991926,42.6775000981,18,1,18
19,-83.1437757777,42.6775000981,19,1,19
20,-83.1405596293,42.6775000981,20,1,20
21,-83.1373434809,42.6775000981,21,1,21
22,-83.1341273325,42.6775000981,22,1,22
23,-83.1309111841,42.6775000981,23,1,23
24,-83.1276950358,42.6775000981,24,1,24
25,-83.1244788874,42.6775000981,25,1,25
26,-83.121262739,42.6775000981,26,1,26
27,-83.1180465906,42.6775000981,27,1,27
28,-83.1148304422,42.6775000981,28,1,28
29,-83.1116142939,42.6775000981,29,0,29
30,-83.1083981455,42.6775000981,30,0,30
31,-83.1051819971,42.6775000981,31,0,31
32,-83.1019658487,42.6775000981,32,1,32
33,-83.0987497003,42.6775000981,33,1,33
34,-83.095533552,42.6775000981,34,1,34
35,-83.0923174036,42.6775000981,35,1,35
36,-83.146991926,42.679873116,36,1,36
37,-83.1437757777,42.679873116,37,1,37
38,-83.1405596293,42.679873116,38,1,38
39,-83.1373434809,42.679873116,39,1,39
40,-83.1341273325,42.679873116,40,1,40
41,-83.1309111841,42.679873116,41,1,41
42,-83.1276950358,42.679873116,42,1,42
43,-83.1244788874,42.679873116,43,1,43
44,-83.121262739,42.679873116,44,1,44
45,-83.1180465906,42.679873116,45,1,45
46,-83.1148304422,42.679873116,46,1,46
47,-83.1116142939,42.679873116,47,0,47
48,-83.1083981455,42.679873116,48,0,48
49,-83.1051819971,42.679873116,49,0,49
50,-83.1019658487,42.679873116,50,1,50
51,-83.0987497003,42.679873116,51,1,51
52,-83.095533552,42.679873116,52,1,52
53,-83.0923174036,42.679873116,53,0,53
54,-83.146991926,42.6822460426,54,1,54
55,-83.1437757777,42.6822460426,55,1,55
56,-83.1405596293,42.6822460426,56,1,56
57,-83.1373434809,42.6822460426,57,1,57
58,-83.1341273325,42.6822460426,58,1,58
59,-83.1309111841,42.6822460426,59,1,59
60,-83.1276950358,42.6822460426,60,1,60
61,-83.1244788874,42.6822460426,61,1,61
62,-83.121262739,42.6822460426,62,1,62
63,-83.1180465906,42.6822460426,63,1,63
64,-83.1148304422,42.6822460426,64,1,64
65,-83.1116142939,42.6822460426,65,1,65
66,-83.1083981455,42.6822460426,66,1,66
67,-83.1051819971,42.6822460426,67,1,67
68,-83.1019658487,42.6822460426,68,1,68
69,-83.0987497003,42.6822460426,69,1,69
70,-83.095533552,42.6822460426,70,1,70
71,-83.0923174036,42.6822460426,71,0,71
72,-83.146991926,42.6846188779,72,1,72
73,-83.1437757777,42.6846188779,73,1,73
74,-83.1405596293,42.6846188779,74,1,74
75,-83.1373434809,42.6846188779,75,1,75
76,-83.1341273325,42.6846188779,76,1,76
77,-83.1309111841,42.6846188779,77,1,77
78,-83.1276950358,42.6846188779,78,1,78
79,-83.1244788874,42.6846188779,79,1,79
80,-83.121262739,42.6846188779,80,1,80
81,-83.1180465906,42.6846188779,81,1,81
82,-83.1148304422,42.6846188779,82,1,82
83,-83.1116142939,42.6846188779,83,1,83
84,-83.1083981455,42.6846188779,84,1,84
85,-83.1051819971,42.6846188779,85,1,85
86,-83.1019658487,42.6846188779,86,1,86
87,-83.0987497003,42.6846188779,87,1,87
88,-83.095533552,42.6846188779,88,1,88
89,-83.0923174036,42.6846188779,89,0,89
90,-83.146991926,42.6869916219,90,1,90
91,-83.1437757777,42.6869916219,91,1,91
92,-83.1405596293,42.6869916219,92,1,92
93,-83.1373434809,42.6869916219,93,1,93
94,-83.1341273325,42.6869916219,94,1,94
95,-83.1309111841,42.6869916219,95,1,95
96,-83.1276950358,42.6869916219,96,1,96
97,-83.1244788874,42.6869916219,97,1,97
98,-83.121262739,42.6869916219,98,1,98
99,-83.1180465906,42.6869916219,99,1,99
100,-83.1148304422,42.6869916219,100,1,100
101,-83.1116142939,42.6869916219,101,1,101
102,-83.1083981455,42.6869916219,102,1,102
103,-83.1051819971,42.6869916219,103,1,103
104,-83.1019658487,42.6869916219,104,1,104
105,-83.0987497003,42.6869916219,105,1,105
106,-83.095533552,42.6869916219,106,1,106
107,-83.0923174036,42.6869916219,107,0,107
108,-83.146991926,42.6893642747,108,1,108
109,-83.1437757777,42.6893642747,109,1,109
110,-83.1405596293,42.6893642747,110,1,110
111,-83.1373434809,42.6893642747,111,1,111
112,-83.1341273325,42.6893642747,112,1,112
113,-83.1309111841,42.6893642747,113,1,113
114,-83.1276950358,42.6893642747,114,1,114
115,-83.1244788874,42.6893642747,115,1,115
