,URL
0,https://www.tripadvisor.com/Hotel_Review-g60745-d94368-Reviews-DoubleTree_by_Hilton_Hotel_Boston_Bayside-Boston_Massachusetts.html
1,https://www.tripadvisor.com/Hotel_Review-g60745-d8316858-Reviews-The_Godfrey_Hotel_Boston-Boston_Massachusetts.html
2,https://www.tripadvisor.com/Hotel_Review-g60745-d94330-Reviews-Seaport_Hotel-Boston_Massachusetts.html
3,https://www.tripadvisor.com/Hotel_Review-g60745-d111413-Reviews-The_Revolution_Hotel-Boston_Massachusetts.html
4,https://www.tripadvisor.com/Hotel_Review-g60745-d111444-Reviews-Fairmont_Copley_Plaza_Boston-Boston_Massachusetts.html
5,https://www.tripadvisor.com/Hotel_Review-g60745-d6485213-Reviews-The_Verb_Hotel-Boston_Massachusetts.html
6,https://www.tripadvisor.com/Hotel_Review-g60745-d121009-Reviews-Holiday_Inn_Express_Boston-Boston_Massachusetts.html
7,https://www.tripadvisor.com/Hotel_Review-g60745-d89620-Reviews-Hyatt_Regency_Boston_Harbor-Boston_Massachusetts.html
8,https://www.tripadvisor.com/Hotel_Review-g60745-d17452622-Reviews-CitizenM_Boston_North_Station-Boston_Massachusetts.html
9,https://www.tripadvisor.com/Hotel_Review-g60745-d111441-Reviews-Hyatt_Regency_Boston-Boston_Massachusetts.html
10,https://www.tripadvisor.com/Hotel_Review-g60745-d111418-Reviews-Boston_Park_Plaza-Boston_Massachusetts.html
11,https://www.tripadvisor.com/Hotel_Review-g60745-d89575-Reviews-Boston_Harbor_Hotel-Boston_Massachusetts.html
12,https://www.tripadvisor.com/Hotel_Review-g60745-d620703-Reviews-InterContinental_Boston-Boston_Massachusetts.html
13,https://www.tripadvisor.com/Hotel_Review-g60745-d12223452-Reviews-YOTEL_Boston-Boston_Massachusetts.html
14,https://www.tripadvisor.com/Hotel_Review-g60745-d234752-Reviews-Kimpton_Nine_Zero_Hotel-Boston_Massachusetts.html
15,https://www.tripadvisor.com/Hotel_Review-g60745-d114150-Reviews-Bostonian_Boston-Boston_Massachusetts.html
16,https://www.tripadvisor.com/Hotel_Review-g60745-d1486034-Reviews-W_Boston-Boston_Massachusetts.html
17,https://www.tripadvisor.com/Hotel_Review-g60745-d20403958-Reviews-Hyatt_Place_Boston_Seaport_District-Boston_Massachusetts.html
18,https://www.tripadvisor.com/Hotel_Review-g60745-d647006-Reviews-The_Liberty_a_Luxury_Collection_Hotel_Boston-Boston_Massachusetts.html
19,https://www.tripadvisor.com/Hotel_Review-g60745-d15161474-Reviews-Hyatt_Centric_Faneuil_Hall_Boston-Boston_Massachusetts.html
20,https://www.tripadvisor.com/Hotel_Review-g60745-d258705-Reviews-Hotel_Commonwealth-Boston_Massachusetts.html
21,https://www.tripadvisor.com/Hotel_Review-g60745-d1201116-Reviews-Battery_Wharf_Hotel_Boston_Waterfront-Boston_Massachusetts.html
22,https://www.tripadvisor.com/Hotel_Review-g60745-d89617-Reviews-The_Westin_Copley_Place_Boston-Boston_Massachusetts.html
23,https://www.tripadvisor.com/Hotel_Review-g60745-d4325990-Reviews-Residence_Inn_by_Marriott_Boston_Back_Bay_Fenway-Boston_Massachusetts.html
24,https://www.tripadvisor.com/Hotel_Review-g60745-d111428-Reviews-Hilton_Boston_Back_Bay-Boston_Massachusetts.html
25,https://www.tripadvisor.com/Hotel_Review-g60745-d94399-Reviews-Club_Quarters_Hotel_in_Boston-Boston_Massachusetts.html
26,https://www.tripadvisor.com/Hotel_Review-g60745-d120988-Reviews-Hilton_Boston_Logan_Airport-Boston_Massachusetts.html
27,https://www.tripadvisor.com/Hotel_Review-g60745-d111416-Reviews-Boston_Marriott_Copley_Place-Boston_Massachusetts.html
28,https://www.tripadvisor.com/Hotel_Review-g60745-d268205-Reviews-Embassy_Suites_by_Hilton_Boston_at_Logan_Airport-Boston_Massachusetts.html
29,https://www.tripadvisor.com/Hotel_Review-g60745-d595373-Reviews-The_Westin_Boston_Waterfront-Boston_Massachusetts.html
30,https://www.tripadvisor.com/Hotel_Review-g60745-d94326-Reviews-Hilton_Boston_Downtown_Faneuil_Hall-Boston_Massachusetts.html
31,https://www.tripadvisor.com/Hotel_Review-g60745-d1136705-Reviews-Mandarin_Oriental_Boston-Boston_Massachusetts.html
33,https://www.tripadvisor.com/Hotel_Review-g60745-d111423-Reviews-The_Eliot_Hotel-Boston_Massachusetts.html
34,https://www.tripadvisor.com/Hotel_Review-g60745-d17581985-Reviews-The_Whitney_Hotel_Boston-Boston_Massachusetts.html
35,https://www.tripadvisor.com/Hotel_Review-g60745-d114134-Reviews-Lenox_Hotel-Boston_Massachusetts.html
36,https://www.tripadvisor.com/Hotel_Review-g60745-d77638-Reviews-The_Inn_At_Longwood_Medical-Boston_Massachusetts.html
37,https://www.tripadvisor.com/Hotel_Review-g60745-d89585-Reviews-Four_Seasons_Hotel_Boston-Boston_Massachusetts.html
39,https://www.tripadvisor.com/Hotel_Review-g60745-d321151-Reviews-Loews_Boston_Hotel-Boston_Massachusetts.html
40,https://www.tripadvisor.com/Hotel_Review-g60745-d13403186-Reviews-Courtyard_Boston_Downtown_North_Station-Boston_Massachusetts.html
41,https://www.tripadvisor.com/Hotel_Review-g60745-d94337-Reviews-XV_Beacon-Boston_Massachusetts.html
42,https://www.tripadvisor.com/Hotel_Review-g60745-d8142646-Reviews-Hilton_Garden_Inn_Boston_Logan_Airport-Boston_Massachusetts.html
43,https://www.tripadvisor.com/Hotel_Review-g60745-d94371-Reviews-The_Colonnade_Hotel-Boston_Massachusetts.html
44,https://www.tripadvisor.com/Hotel_Review-g60745-d8112658-Reviews-The_Envoy_Hotel_Autograph_Collection-Boston_Massachusetts.html
45,https://www.tripadvisor.com/Hotel_Review-g60745-d268207-Reviews-Residence_Inn_Boston_Harbor_On_Tudor_Wharf-Boston_Massachusetts.html
46,https://www.tripadvisor.com/Hotel_Review-g60745-d287606-Reviews-Kimpton_Onyx_Hotel-Boston_Massachusetts.html
47,https://www.tripadvisor.com/Hotel_Review-g60745-d94367-Reviews-Harborside_Inn-Boston_Massachusetts.html
48,https://www.tripadvisor.com/Hotel_Review-g60745-d518130-Reviews-Boston_Yacht_Haven_Inn_Marina-Boston_Massachusetts.html
49,https://www.tripadvisor.com/Hotel_Review-g60745-d89599-Reviews-Omni_Parker_House-Boston_Massachusetts.html
50,https://www.tripadvisor.com/Hotel_Review-g60745-d89600-Reviews-Revere_Hotel_Boston_Common-Boston_Massachusetts.html
51,https://www.tripadvisor.com/Hotel_Review-g60745-d8145467-Reviews-Element_Boston_Seaport_District-Boston_Massachusetts.html
52,https://www.tripadvisor.com/Hotel_Review-g60745-d111417-Reviews-Boston_Marriott_Long_Wharf-Boston_Massachusetts.html
53,https://www.tripadvisor.com/Hotel_Review-g60745-d111422-Reviews-DoubleTree_Suites_by_Hilton_Boston_Cambridge-Boston_Massachusetts.html
54,https://www.tripadvisor.com/Hotel_Review-g60745-d21005926-Reviews-Home2_Suites_by_Hilton_Boston_South_Bay-Boston_Massachusetts.html
55,https://www.tripadvisor.com/Hotel_Review-g60745-d17768161-Reviews-Moxy_Boston_Downtown-Boston_Massachusetts.html
57,https://www.tripadvisor.com/Hotel_Review-g60745-d217550-Reviews-DoubleTree_by_Hilton_Hotel_Boston_Downtown-Boston_Massachusetts.html
58,https://www.tripadvisor.com/Hotel_Review-g60745-d320038-Reviews-Hampton_Inn_Suites_Boston_Crosstown_Center-Boston_Massachusetts.html
59,https://www.tripadvisor.com/Hotel_Review-g60745-d8145466-Reviews-Aloft_Boston_Seaport_District-Boston_Massachusetts.html
60,https://www.tripadvisor.com/Hotel_Review-g60745-d217546-Reviews-Wyndham_Boston_Beacon_Hill-Boston_Massachusetts.html
61,https://www.tripadvisor.com/Hotel_Review-g60745-d13351021-Reviews-AC_Hotel_by_Marriott_Boston_Cleveland_Circle-Boston_Massachusetts.html
62,https://www.tripadvisor.com/Hotel_Review-g60745-d15618152-Reviews-Cambria_Hotel_Boston_Downtown-Boston_Massachusetts.html
63,https://www.tripadvisor.com/Hotel_Review-g60745-d89592-Reviews-Found_Hotel_Boston_Common-Boston_Massachusetts.html
65,https://www.tripadvisor.com/Hotel_Review-g60745-d313573-Reviews-Courtyard_Boston_Copley_Square-Boston_Massachusetts.html
66,https://www.tripadvisor.com/Hotel_Review-g60745-d94344-Reviews-Marriott_Vacation_Club_Pulse_at_Custom_House_Boston-Boston_Massachusetts.html
67,https://www.tripadvisor.com/Hotel_Review-g60745-d1159285-Reviews-The_Inn_At_St_Botolph-Boston_Massachusetts.html
