,URL
0,https://www.tripadvisor.com/Restaurant_Review-g60745-d1166103-Reviews-Basile_Fine_Italian_Kitchen-Boston_Massachusetts.html
1,https://www.tripadvisor.com/Restaurant_Review-g60745-d876959-Reviews-Sam_LaGrassa_s-Boston_Massachusetts.html
2,https://www.tripadvisor.com/Restaurant_Review-g60745-d323363-Reviews-Mario_s_Restaurant-Boston_Massachusetts.html
3,https://www.tripadvisor.com/Restaurant_Review-g60745-d1954989-Reviews-Italian_Express_Pizzeria-Boston_Massachusetts.html
4,https://www.tripadvisor.com/Restaurant_Review-g60745-d322986-Reviews-Mamma_Maria-Boston_Massachusetts.html
5,https://www.tripadvisor.com/Restaurant_Review-g60745-d322311-Reviews-The_Capital_Grille-Boston_Massachusetts.html
6,https://www.tripadvisor.com/Restaurant_Review-g60745-d6742789-Reviews-The_Trophy_Room-Boston_Massachusetts.html
7,https://www.tripadvisor.com/Restaurant_Review-g60745-d321874-Reviews-North_Street_Grille-Boston_Massachusetts.html
8,https://www.tripadvisor.com/Restaurant_Review-g60745-d10480393-Reviews-Saltie_Girl-Boston_Massachusetts.html
9,https://www.tripadvisor.com/Restaurant_Review-g60745-d8463644-Reviews-Ma_Maison-Boston_Massachusetts.html
10,https://www.tripadvisor.com/Restaurant_Review-g60745-d5572598-Reviews-Ostra-Boston_Massachusetts.html
11,https://www.tripadvisor.com/Restaurant_Review-g60745-d9778587-Reviews-SRV_Restaurant-Boston_Massachusetts.html
12,https://www.tripadvisor.com/Restaurant_Review-g60745-d3567563-Reviews-Carmelina_s-Boston_Massachusetts.html
13,https://www.tripadvisor.com/Restaurant_Review-g60745-d322312-Reviews-Mike_s_City_Diner-Boston_Massachusetts.html
14,https://www.tripadvisor.com/Restaurant_Review-g60745-d321911-Reviews-Mistral-Boston_Massachusetts.html
15,https://www.tripadvisor.com/Restaurant_Review-g60745-d6641547-Reviews-Bostonia_Public_House-Boston_Massachusetts.html
16,https://www.tripadvisor.com/Restaurant_Review-g60745-d323014-Reviews-Theo_s_Cozy_Corner_Restaurant-Boston_Massachusetts.html
17,https://www.tripadvisor.com/Restaurant_Review-g60745-d321906-Reviews-Atlantic_Fish_Co-Boston_Massachusetts.html
18,https://www.tripadvisor.com/Restaurant_Review-g60745-d480031-Reviews-Galleria_Umberto-Boston_Massachusetts.html
19,https://www.tripadvisor.com/Restaurant_Review-g60745-d323225-Reviews-Rino_s_Place-Boston_Massachusetts.html
20,https://www.tripadvisor.com/Restaurant_Review-g60745-d321594-Reviews-Shabu_Zen-Boston_Massachusetts.html
21,https://www.tripadvisor.com/Restaurant_Review-g60745-d4813516-Reviews-Sweetgreen-Boston_Massachusetts.html
22,https://www.tripadvisor.com/Restaurant_Review-g60745-d605870-Reviews-Sorellina-Boston_Massachusetts.html
23,https://www.tripadvisor.com/Restaurant_Review-g60745-d322999-Reviews-La_Summa_Cucina_Italiana-Boston_Massachusetts.html
24,https://www.tripadvisor.com/Restaurant_Review-g60745-d321583-Reviews-Boston_Sail_Loft_Restaurant-Boston_Massachusetts.html
25,https://www.tripadvisor.com/Restaurant_Review-g60745-d1907605-Reviews-Deuxave-Boston_Massachusetts.html
26,https://www.tripadvisor.com/Restaurant_Review-g60745-d802390-Reviews-O_Ya-Boston_Massachusetts.html
27,https://www.tripadvisor.com/Restaurant_Review-g60745-d321978-Reviews-Davio_s_Northern_Italian_Steakhouse-Boston_Massachusetts.html
28,https://www.tripadvisor.com/Restaurant_Review-g60745-d10041455-Reviews-The_Friendly_Toast-Boston_Massachusetts.html
29,https://www.tripadvisor.com/Restaurant_Review-g60745-d2285799-Reviews-The_Q_Restaurant-Boston_Massachusetts.html
30,https://www.tripadvisor.com/Restaurant_Review-g60745-d322987-Reviews-Prezza-Boston_Massachusetts.html
31,https://www.tripadvisor.com/Restaurant_Review-g60745-d322062-Reviews-Arya_Trattoria-Boston_Massachusetts.html
32,https://www.tripadvisor.com/Restaurant_Review-g60745-d537940-Reviews-Picco_Restaurant-Boston_Massachusetts.html
33,https://www.tripadvisor.com/Restaurant_Review-g60745-d322981-Reviews-Regina_Pizzeria-Boston_Massachusetts.html
34,https://www.tripadvisor.com/Restaurant_Review-g60745-d1841748-Reviews-Menton-Boston_Massachusetts.html
35,https://www.tripadvisor.com/Restaurant_Review-g60745-d321915-Reviews-OAK_Long_Bar_Kitchen-Boston_Massachusetts.html
36,https://www.tripadvisor.com/Restaurant_Review-g60745-d8534897-Reviews-Ocean_Prime-Boston_Massachusetts.html
38,https://www.tripadvisor.com/Restaurant_Review-g60745-d321924-Reviews-Parish_Cafe-Boston_Massachusetts.html
39,https://www.tripadvisor.com/Restaurant_Review-g60745-d605873-Reviews-Toro_Boston-Boston_Massachusetts.html
40,https://www.tripadvisor.com/Restaurant_Review-g60745-d1007606-Reviews-La_Voile-Boston_Massachusetts.html
41,https://www.tripadvisor.com/Restaurant_Review-g60745-d321943-Reviews-Abe_Louie_s-Boston_Massachusetts.html
42,https://www.tripadvisor.com/Restaurant_Review-g60745-d321931-Reviews-Grill_23_Bar-Boston_Massachusetts.html
43,https://www.tripadvisor.com/Restaurant_Review-g60745-d480040-Reviews-The_Warren_Tavern-Boston_Massachusetts.html
44,https://www.tripadvisor.com/Restaurant_Review-g60745-d9453693-Reviews-Yvonne_s-Boston_Massachusetts.html
45,https://www.tripadvisor.com/Restaurant_Review-g60745-d322992-Reviews-Dino_s_Cafe-Boston_Massachusetts.html
46,https://www.tripadvisor.com/Restaurant_Review-g60745-d3297051-Reviews-Boston_Burger_Company-Boston_Massachusetts.html
47,https://www.tripadvisor.com/Restaurant_Review-g60745-d323002-Reviews-The_Daily_Catch_North_End-Boston_Massachusetts.html
48,https://www.tripadvisor.com/Restaurant_Review-g60745-d321927-Reviews-Taranta-Boston_Massachusetts.html
49,https://www.tripadvisor.com/Restaurant_Review-g60745-d1017794-Reviews-Myers_Chang-Boston_Massachusetts.html
50,https://www.tripadvisor.com/Restaurant_Review-g60745-d1600893-Reviews-Coppa-Boston_Massachusetts.html
51,https://www.tripadvisor.com/Restaurant_Review-g60745-d321916-Reviews-75_Chestnut-Boston_Massachusetts.html
52,https://www.tripadvisor.com/Restaurant_Review-g60745-d7270210-Reviews-Barcelona_Wine_Bar-Boston_Massachusetts.html
53,https://www.tripadvisor.com/Restaurant_Review-g60745-d321934-Reviews-Teatro_Restaurant-Boston_Massachusetts.html
54,https://www.tripadvisor.com/Restaurant_Review-g60745-d321987-Reviews-B_G_Oysters-Boston_Massachusetts.html
55,https://www.tripadvisor.com/Restaurant_Review-g60745-d323083-Reviews-Carlo_s_Cucina_Italiana-Boston_Massachusetts.html
57,https://www.tripadvisor.com/Restaurant_Review-g60745-d322103-Reviews-Emmets_Irish_Pub_Restaurant-Boston_Massachusetts.html
58,https://www.tripadvisor.com/Restaurant_Review-g60745-d535627-Reviews-Neptune_Oyster-Boston_Massachusetts.html
59,https://www.tripadvisor.com/Restaurant_Review-g60745-d322988-Reviews-Giacomo-Boston_Massachusetts.html
60,https://www.tripadvisor.com/Restaurant_Review-g60745-d322076-Reviews-Grotto-Boston_Massachusetts.html
61,https://www.tripadvisor.com/Restaurant_Review-g60745-d322003-Reviews-Ristorante_Toscano-Boston_Massachusetts.html
62,https://www.tripadvisor.com/Restaurant_Review-g60745-d1992229-Reviews-Bleacher_Bar-Boston_Massachusetts.html
64,https://www.tripadvisor.com/Restaurant_Review-g60745-d11894092-Reviews-Ruka_Restobar-Boston_Massachusetts.html
65,https://www.tripadvisor.com/Restaurant_Review-g60745-d4838745-Reviews-Row_34-Boston_Massachusetts.html
66,https://www.tripadvisor.com/Restaurant_Review-g60745-d2057105-Reviews-Benevento_s-Boston_Massachusetts.html
