,URL
0,https://www.tripadvisor.com/Attraction_Review-g60745-d8505238-Reviews-Boston_Public_Market-Boston_Massachusetts.html
1,https://www.tripadvisor.com/Attraction_Review-g60745-d8400863-Reviews-Quincy_Market-Boston_Massachusetts.html
2,https://www.tripadvisor.com/Attraction_Review-g60745-d104824-Reviews-Faneuil_Hall_Marketplace-Boston_Massachusetts.html
3,https://www.tripadvisor.com/Attraction_Review-g60745-d481776-Reviews-Prudential_Center-Boston_Massachusetts.html
4,https://www.tripadvisor.com/Attraction_Review-g60745-d2042435-Reviews-Old_South_Meeting_House-Boston_Massachusetts.html
5,https://www.tripadvisor.com/Attraction_Review-g60745-d109750-Reviews-Brattle_Book_Shop_of_Boston-Boston_Massachusetts.html
6,https://www.tripadvisor.com/Attraction_Review-g60745-d109587-Reviews-Haymarket-Boston_Massachusetts.html
7,https://www.tripadvisor.com/Attraction_Review-g60745-d606100-Reviews-Newbury_Comics-Boston_Massachusetts.html
8,https://www.tripadvisor.com/Attraction_Review-g60745-d209258-Reviews-Copley_Place-Boston_Massachusetts.html
9,https://www.tripadvisor.com/Attraction_Review-g60745-d9718811-Reviews-Commonwealth_Books-Boston_Massachusetts.html
10,https://www.tripadvisor.com/Attraction_Review-g60890-d2453105-Reviews-CambridgeSide-Cambridge_Massachusetts.html
11,https://www.tripadvisor.com/Attraction_Review-g60745-d10239999-Reviews-SoWa_Open_Market-Boston_Massachusetts.html
12,https://www.tripadvisor.com/Attraction_Review-g60890-d560044-Reviews-MIT_Museum-Cambridge_Massachusetts.html
13,https://www.tripadvisor.com/Attraction_Review-g60745-d4603597-Reviews-Red_Sox_Team_Store-Boston_Massachusetts.html
14,https://www.tripadvisor.com/Attraction_Review-g60823-d2420332-Reviews-Brookline_Booksmith-Brookline_Massachusetts.html
15,https://www.tripadvisor.com/Attraction_Review-g60745-d550384-Reviews-Trident_Booksellers_Cafe-Boston_Massachusetts.html
